country_code,channel,age,aadhar_gender,occupation,pincode,annual_income,marital_status,networth,source_of_funds,txn_amount_tot,user_count
AE,ATM,21,M,Salaried,560036,299999,Unmarried,500000,Saving,893302.58,1
AE,ATM,21,M,Salaried,560091,499999,Married,3000000,Other,390704.87,1
AE,ATM,21,M,Salaried,602001,299999,Married,500000,Saving,45940.0499999999,1
AE,ATM,21,M,Salaried,673021,149999,Unmarried,5000000,Salary,197758.29,1
AE,ATM,21,M,Salaried,673574,999999,Unmarried,40000000,Sale Of Property,218976.44,1
AE,ATM,21,M,Salaried,673574,4999999,Unmarried,500000,Business Proceeds,391541.699999999,1
AE,ATM,21,M,Salaried,673586,49999,Unmarried,1500000,Salary,489777.16,1
AE,ATM,21,M,Salaried,673586,299999,Unmarried,250000000,Other,596472.93,1
AE,ATM,21,M,Salaried,676552,299999,Unmarried,1500000,Salary,596836.61,1
AE,ATM,21,M,Salaried,678583,49999,Married,500000,Salary,892472.78,1
AE,ATM,21,M,Salaried,679322,499999,Unmarried,500000,Salary,715692.28,1
AE,ATM,21,M,Salaried,680519,49999,Unmarried,1500000,Other,297472.27,1
AE,ATM,21,M,Self Employed Non-Professional,126101,299999,Married,5000000,Business Proceeds,965323.62,1
AE,ATM,21,M,Self Employed Non-Professional,331507,299999,Married,1500000,Business Proceeds,144598.78,1
AE,ATM,21,M,Self Employed Non-Professional,395009,299999,Married,1500000,Business Proceeds,198354.08,1
AE,ATM,21,M,Self Employed Non-Professional,625103,999999,Married,1500000,Business Proceeds,180693.96,1
AE,ATM,21,M,Self Employed Non-Professional,673007,999999,Unmarried,1500000,Saving,512454.29,1
AE,ATM,21,M,Self Employed Non-Professional,673572,999999,Married,3000000,Other,218882.3,1
AE,ATM,21,M,Self Employed Non-Professional,673573,999999,Unmarried,3000000,Business Proceeds,295526.42,1
AE,ATM,21,M,Self Employed Non-Professional,673591,4999999,Unmarried,10000000,Business Proceeds,631960.63,1
AE,ATM,21,M,Self Employed Non-Professional,673613,149999,Unmarried,1500000,Saving,197753.09,1
AE,ATM,21,M,Self Employed Non-Professional,679571,999999,Unmarried,1500000,Investments,199985.84,1
AE,ATM,21,M,Self Employed Non-Professional,685585,5000000,Unmarried,40000000,Other,297746.01,1
AE,ATM,21,M,Self Employed Professional,124112,4999999,Unmarried,250000000,Other,1077532.34,1
AE,ATM,21,M,Self Employed Professional,124112,4999999,Unmarried,250000000,Salary,1177566.33,1
AE,ATM,21,M,Self Employed Professional,361008,499999,Unmarried,3000000,Salary,197181.14,1
AE,ATM,21,M,Self Employed Professional,363330,299999,Unmarried,1500000,Salary,56552.95,1
AE,ATM,21,M,Self Employed Professional,382418,499999,Unmarried,500000,Business Proceeds,91958.4,1
AE,ATM,21,M,Self Employed Professional,670010,499999,Married,3000000,Business Proceeds,292927.14,1
AE,ATM,21,M,Self Employed Professional,670692,499999,Unmarried,500000,Business Proceeds,299922.51,1
AE,ATM,21,M,Self Employed Professional,673123,499999,Unmarried,500000,Business Proceeds,893929.39,1
AE,ATM,21,M,Self Employed Professional,673308,499999,Unmarried,250000000,Business Proceeds,273557.209999999,1
AE,ATM,21,M,Self Employed Professional,673571,999999,Unmarried,3000000,Other,392674.92,1
AE,ATM,21,M,Self Employed Professional,673571,4999999,Married,120000000,Business Proceeds,297746.01,1
AE,ATM,21,M,Self Employed Professional,673571,4999999,Unmarried,100000000,Business Proceeds,297628.15,1
AE,ATM,21,M,Self Employed Professional,673572,499999,Married,500000,Business Proceeds,595498.36,1
AE,ATM,21,M,Self Employed Professional,673573,499999,Married,500000,Business Proceeds,896588.86,1
AE,ATM,21,M,Self Employed Professional,673573,499999,Unmarried,500000,Professional Fee,302016.04,1
AE,ATM,21,M,Self Employed Professional,673573,499999,Unmarried,1500000,Business Proceeds,397694.24,1
AE,ATM,21,M,Self Employed Professional,673574,499999,Married,3000000,Saving,597177.619999999,1
AE,ATM,21,M,Self Employed Professional,673601,999999,Unmarried,1500000,Saving,599938.19,1
AE,ATM,21,M,Self Employed Professional,673601,999999,Unmarried,3000000,Saving,297596.36,1
AE,ATM,21,M,Self Employed Professional,673603,499999,Unmarried,3000000,Business Proceeds,359889.13,1
AE,ATM,21,M,Self Employed Professional,673612,4999999,Unmarried,5000000,Business Proceeds,443000.67,1
AE,ATM,21,M,Self Employed Professional,673638,499999,Married,40000000,Other,195529.36,1
AE,ATM,21,M,Self Employed Professional,676541,149999,Married,500000,Business Proceeds,190918.76,1
AE,ATM,21,M,Self Employed Professional,679326,999999,Married,1500000,Business Proceeds,81399.73,1
AE,ATM,21,M,Self Employed Professional,679580,299999,Married,500000,Other,892941.57,1
AE,ATM,21,M,Self Employed Professional,834001,499999,Married,500000,Business Proceeds,635384.159999999,1
AE,ATM,21,M,Student,132103,299999,Unmarried,1500000,Other,75837.4899999999,1
AE,ATM,21,M,Student,244302,999999,Unmarried,3000000,Investments,4519.95,1
AE,ATM,21,M,Student,302006,299999,Unmarried,5000000,Saving,25017.62,1
AE,ATM,21,M,Student,302020,499999,Unmarried,1500000,Investments,237749.9,1
AE,ATM,21,M,Student,370001,49999,Unmarried,1500000,Other,24871.18,1
AE,ATM,21,M,Student,400037,49999,Unmarried,500000,Salary,45736.46,1
AE,ATM,21,M,Student,400603,299999,Unmarried,3000000,Other,299151.37,1
AE,ATM,21,M,Student,411042,499999,Unmarried,500000,Saving,133141.1,1
AE,ATM,21,M,Student,411048,499999,Unmarried,5000000,Saving,45222.07,1
AE,ATM,21,M,Student,496118,999999,Married,1500000,Investments,79535.45,1
AE,ATM,21,M,Student,500103,49999,Unmarried,20000000,Inheritance,9091.4,1
AE,ATM,21,M,Student,508355,999999,Married,140000000,Business Proceeds,1285572.23,1
AE,ATM,21,M,Student,574243,49999,Unmarried,500000,Saving,493204.569999999,1
AE,ATM,21,M,Student,600010,49999,Married,500000,Saving,91880.0999999999,1
AE,ATM,21,M,Student,637018,49999,Unmarried,500000,Other,199028.87,1
AE,ATM,21,M,Student,670693,299999,Married,1500000,Other,315994.029999999,1
AE,ATM,21,M,Student,671324,49999,Unmarried,500000,Other,83619.11,1
AE,ATM,21,M,Student,673104,4999999,Unmarried,3000000,Other,596836.61,1
AE,ATM,21,M,Student,673541,299999,Unmarried,1500000,Other,1882585.17,3
AE,ATM,21,M,Student,673542,499999,Unmarried,1500000,Other,195621.45,1
AE,ATM,21,M,Student,673572,299999,Unmarried,500000,Saving,642728.79,1
AE,ATM,21,M,Student,673576,49999,Unmarried,500000,Salary,397419.8,1
AE,ATM,21,M,Student,673620,999999,Married,3000000,Saving,295466.07,1
AE,ATM,21,M,Student,673631,299999,Unmarried,1500000,Saving,318237.68,1
AE,ATM,21,M,Student,678556,499999,Married,500000,Saving,295939.68,1
AE,ATM,21,M,Student,679331,999999,Unmarried,3000000,Business Proceeds,696796.01,1
AE,ATM,21,M,Student,835222,499999,Unmarried,1500000,Other,632601.769999999,1
AE,ATM,21,M,Used Car Sales,673572,499999,Unmarried,3000000,Business Proceeds,793031.399999999,2
AE,ATM,22,F,Housewife,395003,999999,Married,3000000,Saving,91443.62,1
AE,ATM,22,F,Salaried,673008,499999,Unmarried,3000000,Saving,1087350.78,1
AE,ATM,22,F,Self Employed Non-Professional,393145,499999,Married,500000,Other,468184.6,1
AE,ATM,22,F,Self Employed Non-Professional,671318,499999,Married,500000,Business Proceeds,892981.14,1
AE,ATM,22,F,Self Employed Non-Professional,834004,499999,Unmarried,1500000,Other,636020.559999999,1
AE,ATM,22,F,Self Employed Professional,126102,299999,Married,3000000,Business Proceeds,95068.5,1
AE,ATM,22,F,Self Employed Professional,380001,999999,Unmarried,3000000,Saving,547384.38,1
AE,ATM,22,F,Self Employed Professional,600093,999999,Unmarried,250000000,Business Proceeds,11893.9,1
AE,ATM,22,F,Self Employed Professional,834004,499999,Unmarried,500000,Business Proceeds,648817.22,1
AE,ATM,22,F,Student,206122,299999,Unmarried,500000,Business Proceeds,632876.61,1
AE,ATM,22,F,Student,360007,499999,Married,3000000,Saving,391496.64,1
AE,ATM,22,F,Student,382418,49999,Unmarried,1500000,Business Proceeds,91958.4,1
AE,ATM,22,F,Student,421505,49999,Unmarried,500000,Saving,2272.44,1
AE,ATM,22,F,Student,462003,49999,Unmarried,1500000,Saving,18079.0599999999,1
AE,ATM,22,F,Student,570015,49999,Married,3000000,Saving,991221.33,1
AE,ATM,22,F,Student,678103,49999,Married,3000000,Other,596889.17,1
AE,ATM,22,M,Agri-Allied Activities,208001,299999,Unmarried,1500000,Business Proceeds,90471.18,1
AE,ATM,22,M,Agriculturist,126114,999999,Unmarried,5000000,Other,783408.97,1
AE,ATM,22,M,Auctioneers,679511,299999,Married,500000,Salary,200056.31,1
AE,ATM,22,M,Builders And Real Estate,670645,4999999,Married,5000000,Other,318438.29,1
AE,ATM,22,M,Builders And Real Estate,673612,999999,Married,3000000,Other,512680.509999999,1
AE,ATM,22,M,Builders And Real Estate,679326,999999,Unmarried,1500000,Business Proceeds,162688.68,1
AE,ATM,22,M,Financial Services /Invesment Serv/ Mutual Fund,670721,999999,Unmarried,3000000,Business Proceeds,990745.299999999,1
AE,ATM,22,M,Financial Services /Invesment Serv/ Mutual Fund,682040,49999,Unmarried,500000,Other,286759.76,1
AE,ATM,22,M,Forex,676306,299999,Unmarried,500000,Saving,420489.26,1
AE,ATM,22,M,Forex,678004,999999,Married,1500000,Investments,548232.029999999,1
AE,ATM,22,M,Pawnshop,673572,49999,Married,250000000,Other,593315.27,1
AE,ATM,22,M,Salaried,202001,999999,Unmarried,5000000,Salary,105783.549999999,1
AE,ATM,22,M,Salaried,208013,299999,Unmarried,500000,Salary,759669.32,1
AE,ATM,22,M,Salaried,370110,49999,Unmarried,250000000,Saving,192333.25,1
AE,ATM,22,M,Salaried,380001,499999,Unmarried,500000,Salary,206337.729999999,1
AE,ATM,22,M,Salaried,395009,299999,Married,1500000,Salary,99354.91,1
AE,ATM,22,M,Salaried,400060,499999,Married,500000,Salary,297615.39,1
AE,ATM,22,M,Salaried,400101,4999999,Unmarried,500000,Salary,97809,1
AE,ATM,22,M,Salaried,560024,499999,Unmarried,3000000,Salary,891970.859999999,1
AE,ATM,22,M,Salaried,560052,4999999,Unmarried,1500000,Salary,68240.95,1
AE,ATM,22,M,Salaried,560063,499999,Married,5000000,Business Proceeds,197513.72,1
AE,ATM,22,M,Salaried,560077,49999,Unmarried,20000000,Salary,261710.399999999,1
AE,ATM,22,M,Salaried,670602,499999,Unmarried,500000,Salary,293280.48,1
AE,ATM,22,M,Salaried,671314,299999,Unmarried,3000000,Investments,795249.019999999,1
AE,ATM,22,M,Salaried,673014,5000000,Married,5000000,Business Proceeds,297426.88,1
AE,ATM,22,M,Salaried,673029,299999,Married,500000,Salary,887815.28,1
AE,ATM,22,M,Salaried,673571,299999,Married,1500000,Salary,295716.47,1
AE,ATM,22,M,Salaried,673571,499999,Unmarried,3000000,Other,397568.124999999,1
AE,ATM,22,M,Salaried,673572,149999,Married,500000,Salary,299878.78,1
AE,ATM,22,M,Salaried,673572,499999,Married,10000000,Other,393301.43,1
AE,ATM,22,M,Salaried,673586,49999,Unmarried,1500000,Salary,596974.84,1
AE,ATM,22,M,Salaried,673602,49999,Married,500000,Salary,297729.46,1
AE,ATM,22,M,Salaried,673602,49999,Unmarried,1500000,Business Proceeds,293676.63,1
AE,ATM,22,M,Salaried,673602,149999,Unmarried,1500000,Saving,695319.54,2
AE,ATM,22,M,Salaried,679564,999999,Unmarried,3000000,Salary,596387.25,1
AE,ATM,22,M,Salaried,814112,999999,Unmarried,1500000,Salary,78581.81,1
AE,ATM,22,M,Self Employed Non-Professional,360002,299999,Married,5000000,Business Proceeds,417471.32,1
AE,ATM,22,M,Self Employed Non-Professional,370110,299999,Unmarried,500000,Salary,312612.04,1
AE,ATM,22,M,Self Employed Non-Professional,508206,499999,Unmarried,5000000,Inheritance,1064897.48,1
AE,ATM,22,M,Self Employed Non-Professional,670325,499999,Married,1500000,Salary,295348.269999999,1
AE,ATM,22,M,Self Employed Non-Professional,671321,999999,Unmarried,500000,Other,170024.529999999,1
AE,ATM,22,M,Self Employed Non-Professional,673008,299999,Unmarried,500000,Saving,397814.79,1
AE,ATM,22,M,Self Employed Non-Professional,673105,499999,Unmarried,5000000,Business Proceeds,792541.929999999,1
AE,ATM,22,M,Self Employed Non-Professional,673121,499999,Unmarried,500000,Salary,391022.87,1
AE,ATM,22,M,Self Employed Non-Professional,673123,499999,Unmarried,3000000,Other,297740.77,1
AE,ATM,22,M,Self Employed Non-Professional,673509,49999,Unmarried,500000,Saving,893460.71,1
AE,ATM,22,M,Self Employed Non-Professional,673572,499999,Unmarried,3000000,Business Proceeds,609994.58,1
AE,ATM,22,M,Self Employed Non-Professional,673572,999999,Unmarried,3000000,Other,197737.86,1
AE,ATM,22,M,Self Employed Non-Professional,673573,499999,Married,1500000,Salary,327301.15,1
AE,ATM,22,M,Self Employed Non-Professional,673582,4999999,Married,1500000,Business Proceeds,299868.14,1
AE,ATM,22,M,Self Employed Non-Professional,673582,4999999,Married,1500000,Other,106761.68,1
AE,ATM,22,M,Self Employed Non-Professional,673595,299999,Unmarried,1500000,Business Proceeds,297736.39,1
AE,ATM,22,M,Self Employed Non-Professional,673602,499999,Unmarried,500000,Other,292932.58,1
AE,ATM,22,M,Self Employed Non-Professional,673612,999999,Unmarried,1500000,Investments,295513.25,1
AE,ATM,22,M,Self Employed Non-Professional,673638,499999,Married,1500000,Business Proceeds,390788.93,1
AE,ATM,22,M,Self Employed Non-Professional,676510,499999,Unmarried,1500000,Other,197783.169999999,1
AE,ATM,22,M,Self Employed Non-Professional,679573,4999999,Married,3000000,Investments,295488.76,1
AE,ATM,22,M,Self Employed Non-Professional,682035,999999,Unmarried,3000000,Saving,889229.019999999,1
AE,ATM,22,M,Self Employed Professional,124507,299999,Married,500000,Salary,366532.06,1
AE,ATM,22,M,Self Employed Professional,126102,499999,Married,1500000,Business Proceeds,875152.159999999,1
AE,ATM,22,M,Self Employed Professional,126102,499999,Unmarried,1500000,Other,969395.969999999,1
AE,ATM,22,M,Self Employed Professional,127046,5000000,Married,5000000,Other,481708.72,1
AE,ATM,22,M,Self Employed Professional,175126,299999,Unmarried,500000,Saving,181862.04,1
AE,ATM,22,M,Self Employed Professional,361001,999999,Unmarried,1500000,Business Proceeds,97923.59,1
AE,ATM,22,M,Self Employed Professional,394120,499999,Married,1500000,Business Proceeds,293147.709999999,1
AE,ATM,22,M,Self Employed Professional,560078,299999,Unmarried,500000,Saving,18046.42,1
AE,ATM,22,M,Self Employed Professional,574243,499999,Unmarried,20000000,Other,98302.53,1
AE,ATM,22,M,Self Employed Professional,575018,299999,Unmarried,1500000,Investments,495328.94,1
AE,ATM,22,M,Self Employed Professional,600100,299999,Unmarried,80000000,Sale Of Property,436497.649999999,1
AE,ATM,22,M,Self Employed Professional,670595,999999,Unmarried,3000000,Investments,298423.55,1
AE,ATM,22,M,Self Employed Professional,673123,299999,Married,1500000,Professional Fee,989324.51,1
AE,ATM,22,M,Self Employed Professional,673507,499999,Married,1500000,Sale Of Property,299922.51,1
AE,ATM,22,M,Self Employed Professional,673571,999999,Married,1500000,Other,297746.01,1
AE,ATM,22,M,Self Employed Professional,673571,999999,Unmarried,1500000,Business Proceeds,297628.15,1
AE,ATM,22,M,Self Employed Professional,673571,4999999,Unmarried,40000000,Business Proceeds,295541.27,1
AE,ATM,22,M,Self Employed Professional,673571,4999999,Unmarried,140000000,Business Proceeds,417816.27,1
AE,ATM,22,M,Self Employed Professional,673572,299999,Married,500000,Business Proceeds,277341.06,1
AE,ATM,22,M,Self Employed Professional,673572,299999,Unmarried,500000,Saving,397814.79,1
AE,ATM,22,M,Self Employed Professional,673572,499999,Married,500000,Business Proceeds,397609.07,1
AE,ATM,22,M,Self Employed Professional,673573,999999,Unmarried,1500000,Business Proceeds,990673.96,1
AE,ATM,22,M,Self Employed Professional,673573,4999999,Unmarried,20000000,Other,218932.49,1
AE,ATM,22,M,Self Employed Professional,673574,999999,Married,1500000,Other,299922.51,1
AE,ATM,22,M,Self Employed Professional,673585,499999,Married,500000,Business Proceeds,413262.319999999,1
AE,ATM,22,M,Self Employed Professional,673585,999999,Unmarried,20000000,Business Proceeds,297746.01,1
AE,ATM,22,M,Self Employed Professional,673591,499999,Unmarried,500000,Business Proceeds,297615.39,1
AE,ATM,22,M,Self Employed Professional,673601,999999,Unmarried,1500000,Salary,596889.17,1
AE,ATM,22,M,Self Employed Professional,673602,499999,Unmarried,1500000,Investments,297609.4,1
AE,ATM,22,M,Self Employed Professional,673612,999999,Unmarried,3000000,Business Proceeds,218646.75,1
AE,ATM,22,M,Self Employed Professional,673638,999999,Married,500000,Sale Of Property,481755.15,1
AE,ATM,22,M,Self Employed Professional,673641,999999,Unmarried,1500000,Saving,993119.19,2
AE,ATM,22,M,Self Employed Professional,691535,499999,Unmarried,5000000,Business Proceeds,234167.25,1
AE,ATM,22,M,Student,110015,49999,Unmarried,500000,Saving,91012.88,1
AE,ATM,22,M,Student,110043,299999,Married,500000,Professional Fee,34686.7,1
AE,ATM,22,M,Student,110092,49999,Unmarried,500000,Other,83579.2,1
AE,ATM,22,M,Student,124001,499999,Unmarried,500000,Saving,97314.72,1
AE,ATM,22,M,Student,126114,299999,Unmarried,5000000,Business Proceeds,1125544.57,1
AE,ATM,22,M,Student,140603,49999,Unmarried,500000,Saving,5733.64,1
AE,ATM,22,M,Student,143601,299999,Unmarried,1500000,Inheritance,81464.66,1
AE,ATM,22,M,Student,151505,499999,Married,1500000,Inheritance,97711.72,1
AE,ATM,22,M,Student,201002,299999,Unmarried,500000,Other,51944.52,1
AE,ATM,22,M,Student,221002,299999,Unmarried,5000000,Saving,43170.66,1
AE,ATM,22,M,Student,246701,299999,Unmarried,80000000,Other,436366.23,1
AE,ATM,22,M,Student,302004,49999,Unmarried,500000,Saving,97697.04,1
AE,ATM,22,M,Student,383001,49999,Unmarried,500000,Saving,11292.29,1
AE,ATM,22,M,Student,403602,499999,Unmarried,500000,Other,2259.4,1
AE,ATM,22,M,Student,440018,299999,Unmarried,500000,Saving,75055.23,1
AE,ATM,22,M,Student,522001,499999,Unmarried,10000000,Other,145081.479999999,1
AE,ATM,22,M,Student,670621,4999999,Unmarried,10000000,Other,83727.12,1
AE,ATM,22,M,Student,670644,999999,Unmarried,1500000,Investments,195520.32,1
AE,ATM,22,M,Student,673309,299999,Married,10000000,Saving,190223.58,1
AE,ATM,22,M,Student,673504,299999,Unmarried,500000,Salary,297424.32,1
AE,ATM,22,M,Student,673572,49999,Unmarried,500000,Saving,713271.919999999,1
AE,ATM,22,M,Student,673602,999999,Unmarried,5000000,Inheritance,414351.839999999,1
AE,ATM,22,M,Student,678601,49999,Unmarried,500000,Salary,596387.25,1
AE,ATM,22,M,Student,679321,49999,Married,500000,Saving,90885.61,1
AE,ATM,22,M,Student,679322,49999,Unmarried,500000,Other,293317.54,1
AE,ATM,22,M,Student,680681,4999999,Unmarried,200000000,Business Proceeds,697563.33,1
AE,ATM,22,M,Travel Agency,673611,999999,Married,1500000,Business Proceeds,695972.85,1
AE,ATM,22,M,Travel Agency,680305,5000000,Unmarried,250000000,Other,404175.28,1
AE,ATM,22,M,Used Car Sales,673572,499999,Unmarried,3000000,Business Proceeds,197615.08,1
AE,ATM,22,M,Used Car Sales,679335,499999,Married,1500000,Other,297650.91,1
